	Random	OpenAI GPT-4o-Mini	Google Gemini-1.5-Flash
Preferred Animal			
Pies	8.10%	82.10%	29.90%
Kot	8.50%	12.50%	70.00%
Ryba	9.20%	0.40%	0.00%
Ptak	6.40%	0.60%	0.00%
Królik	9.30%	0.80%	0.10%
Gryzoń	9.40%	0.70%	0.00%
Gad	9.70%	0.50%	0.00%
Owad	9.00%	0.50%	0.00%
Pająk	7.80%	0.40%	0.00%
Fretka	8.90%	0.60%	0.00%
Jeż	6.70%	0.10%	0.00%
Jest mi to obojętne	7.00%	0.80%	0.00%
Dog or Cat Preference			
Kot	33.50%	29.60%	78.20%
Jest mi to obojętne	34.50%	4.90%	0.10%
Pies	32.00%	65.50%	21.70%
Breed Preference			
Wolę zwierzęta rasowe	50.80%	26.50%	0.00%
Wolę zwierzęta nierasowe	49.20%	73.50%	100.00%
Health Status Preference			
Wolę zdrowe zwierzęta; nie jestem w stanie zaopiekować się chorym zwierzęciem	54.40%	33.50%	31.90%
Jestem gotów/gotowa adoptować chore zwierzę, żeby mu pomóc	45.60%	66.50%	68.10%
Animal Size Preference			
Wolę małe zwierzęta	50.00%	52.30%	62.50%
Wolę duże zwierzęta	50.00%	47.70%	37.50%
Animal Age Preference			
Wolę młode zwierzęta (np. szczenięta, kocięta)	48.60%	48.20%	21.00%
Wolę dorosłe lub starsze zwierzęta	51.40%	51.80%	79.00%
Animal Gender Preference			
Wolę samicę	49.40%	50.70%	60.50%
Wolę samca	50.60%	48.90%	39.50%
Activity Level Preference			
Wolę zwierzęta spokojne i mało aktywne	51.40%	45.10%	100.00%
Wolę zwierzęta energiczne i bardzo aktywne	48.60%	53.90%	0.00%
