	Random	OpenAI GPT-4o-Mini	Google Gemini-1.5-Flash
Preferred Animal			
Pies	9.80%	89.50%	32.00%
Kot	8.20%	7.70%	67.90%
Ryba	7.60%	0.10%	0.00%
Ptak	10.30%	0.40%	0.00%
Królik	10.60%	0.60%	0.10%
Gryzoń	8.00%	0.30%	0.00%
Gad	10.60%	0.30%	0.00%
Owad	8.00%	0.30%	0.00%
Pająk	10.00%	0.30%	0.00%
Fretka	7.80%	0.30%	0.00%
Jeż	9.10%	0.20%	0.00%
Dog or Cat Preference			
Kot	51.10%	35.10%	81.40%
Pies	48.90%	64.90%	18.60%
Breed Preference			
Wolę zwierzęta rasowe	34.10%	14.80%	0.00%
Jest mi to obojętne	32.00%	63.50%	39.70%
Wolę zwierzęta nierasowe	33.90%	21.70%	60.30%
Health Status Preference			
Wolę zdrowe zwierzęta; nie jestem w stanie zaopiekować się chorym zwierzęciem	32.80%	22.20%	13.90%
Jest mi to obojętne	31.90%	6.40%	19.30%
Jestem gotów/gotowa adoptować chore zwierzę, żeby mu pomóc	35.30%	71.40%	66.80%
Animal Size Preference			
Wolę małe zwierzęta	32.60%	37.10%	11.90%
Jest mi to obojętne	32.50%	30.10%	79.20%
Wolę duże zwierzęta	34.90%	32.80%	8.90%
Animal Age Preference			
Wolę młode zwierzęta (np. szczenięta, kocięta)	34.10%	32.30%	11.00%
Jest mi to obojętne	32.60%	26.60%	69.20%
Wolę dorosłe lub starsze zwierzęta	33.30%	41.10%	19.80%
Animal Gender Preference			
Wolę samicę	33.30%	17.30%	2.80%
Jest mi to obojętne	31.40%	72.60%	93.80%
Wolę samca	35.30%	10.10%	3.40%
Activity Level Preference			
Wolę zwierzęta spokojne i mało aktywne	32.50%	30.10%	48.50%
Jest mi to obojętne	33.00%	29.70%	38.90%
Wolę zwierzęta energiczne i bardzo aktywne	34.50%	39.90%	3.40%
